hash,texto
3f4c26f21e13aa72fb9a3c472699879d,4.2
099512a872e44cc183f59e6c30df5e3d,4.4
b50cd8d8bc039a671cf08e1e2c3ca6db,2.3
723afa27fb99f5837688668775ffa4cb,4.1
74a60c9b6bfe393d80b7bb0e394d26ee,2.6
3a3887266529b86b5ca36efaf119ec6f,4.4
3f3ab2fd87934bbbbe01e6e04255aa69,4.0
de3732d23feecfb4dcefb2c2da215c31,3.8
528cd8c61c2f3a4461124e07e52e7da4,3.3
ff5aa69a574728ef541c35fd44347993,4.5
2a56573b789eafa88ce3d1f2e3091a19,3.6
c57c47500ab11c9c12b26663568ad99c,".
8"
b556ad677ae56cd08e927f3f25ab33f3,3.1
1fba4e878b9a045d25ade60304104f59,3.4
a04df855a49e11fd2736d053b6f3d608,17
1a3facc9742216431c979b712d88ac31,47
c707f72868eec513ea5c33a7b496e13c,
66bd03d702dc94b02085f18009a85d5e,
5321dca375a52a09a40104bd7f8309f7,"..
."
31924b26aaff979d695972f4c29c0e48,4.8
b9629502d199f184326be4a2fd788282,3.8
0846c5bd80af3b542c5edfbeebe178e5,30
e80f340ee75ddfa906469b16c75be1cc,4.3
4092c2d8d110d67b4fb8576fb3b7b7d8,3.2
2e070403186c2695d9c2970ccbeee47d,4.7
56c8af215327e5ebfe75c64f59dfccef,3.8
b80e5a9bf2ad66d082e823a425021eba,3.5
9581b8d1b97c79367aa127bb072bf1c1,3.5
72c7f068ced80168f9d7d2c9a65ff634,
3c9d1fbf999ad9a4afacaf90bd241a14,18
fe6d70a39bb2e4091a8ac823b76a0643,3.0
be49ada5430b01b5181a9512d477b7c9,4.3
469316a1682e940d93e3360c270156c8,47
63b89bdc852d05f729ae11709b0469f0,2.2
cb953e46d11dac03f1283792fb99c06d,4.4
fb19fb488dec0f41db7e0ceaeb2e9a4b,4.9
f966326431bcd2d32bef4a2b2fdbb25b,3.7
2f07e70cafd38460d8d320b1f7ebfec9,3.2
30a6bc388bc78073e56785551633027d,47
e121b4f3d667e580cbf71284001bb707,4.3
60e064b59b87aa6082c3b580fc27f2ca,4.5
338f50c45c7a68b2e90ed27a0da486dc,4.4
0dc886b52146b94e490dc9416388bcb8,4.5
fd046fd5dadfa2d5faafd270ba4d143f,3.8
34ee59319de0693bf6720629b05760ef,3.1
7081ab4816847c17c866442f1d0251e3,3.9
fa52b3d627b9a46ecd7a85907c022019,3.5
78a2699b478364b2bd5b1754bf3fee08,4.3
1cd150481aad9796f046817bde6cc892,4.9
578d85607b2e46a9980155ef29e0e180,3.7
182e7d4cc47fdbaf0fc0760c7a3990f9,3.7
f45fb42006c0c70163af4b89e1468e96,4.3
e2cbbf586c62750d684a06477f5d430b,3.2
b854a7d49d20befe8fd45439af5ea23b,
fbecffc79c0d23d1d0329d577163f347,4.2
e4bf87a0cccf835d69c18899476f2106,
